id,question,latency_ms,source_count,grounded_flag,confidence,accuracy_rating,notes
1,What is the FDIC deposit insurance limit in the United States?,,,,,,
2,What are the three stages of money laundering?,,,,,,
3,What documents are required for KYC of an individual in India?,,,,,,
4,What is the difference between CDD and EDD in banking compliance?,,,,,,
5,What is a Suspicious Activity Report and when must it be filed?,,,,,,
6,Compare CTR reporting thresholds in the U.S. and India.,,,,,,
7,What is Regulation E liability for unauthorized electronic fund transfers?,,,,,,
8,What is the purpose of the Basel Framework?,,,,,,
9,What is the role of FIU-IND in India's AML framework?,,,,,,
10,What is the difference between repo rate and reverse repo rate in India?,,,,,,
11,What is CRR in Indian banking?,,,,,,
12,What is SLR in Indian banking?,,,,,,
13,What is the purpose of customer due diligence?,,,,,,
14,What is the leverage ratio under Basel III designed to control?,,,,,,
15,What is the role of FinCEN in the U.S. banking system?,,,,,,
16,What is the role of the OCC in U.S. banking regulation?,,,,,,
17,What is a Currency Transaction Report?,,,,,,
18,What is the difference between AML and KYC?,,,,,,
19,What is the Net Interest Margin?,,,,,,
20,What is the CASA ratio in banking?,,,,,,
21,What is an NPA in Indian banking?,,,,,,
22,What is the purpose of provisioning in banking?,,,,,,
23,What is LCR under Basel III?,,,,,,
24,What is NSFR under Basel III?,,,,,,
25,What is PCR in banking?,,,,,,
26,What is the FDIC and what does it insure?,,,,,,
27,How does enhanced due diligence differ from standard due diligence?,,,,,,
28,What is the purpose of suspicious transaction monitoring?,,,,,,
29,What is the difference between SAR and CTR reporting?,,,,,,
30,What does RBI stand for and what does it regulate?,,,,,,
31,What is the purpose of Basel III capital adequacy requirements?,,,,,,
32,What is the difference between Tier 1 and Tier 2 capital?,,,,,,
33,What is the role of the CFPB in U.S. banking?,,,,,,
34,What is the purpose of deposit insurance?,,,,,,
35,What is money laundering?,,,,,,
36,What is customer identification in KYC?,,,,,,
37,What is beneficial ownership in compliance?,,,,,,
38,What is the purpose of sanctions screening in banking?,,,,,,
39,What is priority sector lending in India?,,,,,,
40,What is a bank run?,,,,,,
41,What is capital adequacy ratio?,,,,,,
42,What is the difference between ROA and ROE?,,,,,,
43,What is the purpose of AML risk scoring?,,,,,,
44,What is the role of FinCEN in SAR filings?,,,,,,
45,What is the difference between secured and unsecured lending?,,,,,,
46,What is the function of a central bank?,,,,,,
47,What is a correspondent banking relationship?,,,,,,
48,What is the purpose of transaction monitoring?,,,,,,
49,What is the difference between insured and uninsured deposits?,,,,,,
50,What is the role of compliance officers in banks?,,,,,,
