id,set_name,mode_requested,mode_used,language,query,answer,latency_ms,source_count,sources,confidence,grounded_flag,available,route_reason
1,evaluation_queries,OpenAI,OpenAI,English,What are the four main components of KYC under FinCEN guidelines?,"KYC requirements are governed by FinCEN's CDD Rule (effective May 2018). STANDARDS
================================================================

OVERVIEW
KYC is the process by which banks verify the identity of their clients.",0,1,us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
2,evaluation_queries,OpenAI,OpenAI,English,What documents are accepted as proof of identity for individual KYC in India?,"=== SECTION 10: DEMO-READY INDIA QUESTIONS ===

What documents are required for KYC of an individual in India? KYC Documents for Individuals:
- Proof of Identity: Aadhaar, PAN Card, Passport, Voter ID, Driving License
- Proof of Address: Utility bills, bank statements, Aadhaar, Passport
- Photograph

KYC Documents for Companies:
- Certificate of Incorporation
- Memorandum and Articles of Association
- Board Resolution
- List of Directors and Beneficial Owners",0,1,banking_knowledge.txt,High,yes,no,openai_api_key_missing
3,evaluation_queries,OpenAI,OpenAI,English,What is the KYC re-verification frequency for high-risk customers under RBI guidelines?,"Customer Identification and Verification
   - Collect: legal name, date of birth, address, ID number
   - Verify: government-issued ID, passport, driver's license
   - Enhanced verification for high-risk customers Enhanced Due Diligence (EDD)
   - Required for Politically Exposed Persons (PEPs)
   - Required for customers from high-risk countries
   - Required for correspondent banking relationships
   - Includes source of funds verification
   - Senior management approval often required",0,2,us_banking_knowledge.txt | banking_knowledge.txt,High,yes,no,openai_api_key_missing
4,evaluation_queries,OpenAI,OpenAI,English,What is Video-based Customer Identification Process and when was it introduced?,"- Video-based Customer Identification Process (V-CIP) is an RBI-approved digital onboarding process. KYC Periodicity:
- High-risk customers: Every 2 years
- Medium-risk customers: Every 8 years
- Low-risk customers: Every 10 years

Video-based Customer Identification Process (V-CIP): RBI-approved digital KYC method using live video interaction.",0,1,banking_knowledge.txt,High,yes,no,openai_api_key_missing
5,evaluation_queries,OpenAI,OpenAI,English,What is the Central KYC Registry and who maintains it in India?,"=== SECTION 1: RBI GUIDELINES & MONETARY POLICY ===

The Reserve Bank of India (RBI) is India's central bank and monetary authority. It was established on April 1, 1935, under the Reserve Bank of India Act, 1934.",0,1,banking_knowledge.txt,High,yes,no,openai_api_key_missing
6,evaluation_queries,OpenAI,OpenAI,English,Who qualifies as a Politically Exposed Person and what additional scrutiny applies?,Politically Exposed Persons (PEPs): Individuals who hold or have held prominent public positions. Beneficial Owner: A person who ultimately owns or controls more than 25% of shares or voting rights in an entity.,0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
7,evaluation_queries,OpenAI,OpenAI,English,What is the difference between Customer Due Diligence and Enhanced Due Diligence?,"- Customer Due Diligence (CDD): Assessing the nature of the customer's business and transaction patterns. Customer Due Diligence (CDD)
   - Understand customer's business and expected transactions
   - Assess risk level: low, medium, high
   - Low risk: basic CDD sufficient
   - High risk: Enhanced Due Diligence (EDD) required",0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
8,evaluation_queries,OpenAI,OpenAI,English,What documents are required for KYC of a corporate entity in the United States?,"=== SECTION 10: DEMO-READY INDIA QUESTIONS ===

What documents are required for KYC of an individual in India? - CTRs are required for cash transactions above $10,000 in a single business day and are threshold-based.",0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
9,evaluation_queries,OpenAI,OpenAI,English,What are the three stages of money laundering?,"THREE STAGES OF MONEY LAUNDERING
1. Three Stages of Money Laundering:
1.",0,2,us_banking_knowledge.txt | banking_knowledge.txt,High,yes,no,openai_api_key_missing
10,evaluation_queries,OpenAI,OpenAI,English,What is the Cash Transaction Report threshold in India and who receives it?,"- CTR covers cash transactions above the reporting threshold and is rule-based. - CTRs are required for cash transactions above $10,000 in a single business day and are threshold-based.",0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
