id,set_name,mode_requested,mode_used,language,query,answer,latency_ms,source_count,sources,confidence,grounded_flag,available,route_reason
1,evaluation_multilingual,OpenAI,OpenAI,English,What are the three stages of money laundering?,"THREE STAGES OF MONEY LAUNDERING
1. Three Stages of Money Laundering:
1.",0,2,us_banking_knowledge.txt | banking_knowledge.txt,High,yes,no,openai_api_key_missing
2,evaluation_multilingual,OpenAI,OpenAI,Spanish,¿Cuáles son los requisitos mínimos de capital bajo Basilea III?,"Suspicious Activity      | SAR ($5,000+)                    | STR (no minimum)
Deposit Insurance        | $250,000 (FDIC)                  | ₹5 lakh (DICGC)
Capital Adequacy         | Basel III (8% minimum)            | Basel III (9% minimum)
KYC Framework            | FinCEN CDD Rule                  | RBI KYC Master Direction Capital Adequacy Ratio (CAR): Also known as CRAR.",0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
3,evaluation_multilingual,OpenAI,OpenAI,French,Qu'est-ce que le ratio de liquidité à court terme et que mesure-t-il?,"- Net Stable Funding Ratio (NSFR): Long-term stable funding must cover long-term assets. NATIONAL BANK REQUIREMENTS
- Must maintain minimum capital ratios
- Tier 1 Capital Ratio: minimum 6%
- Total Capital Ratio: minimum 8%
- Leverage Ratio: minimum 4%
- Well-capitalized banks: Tier 1 ≥ 8%, Total ≥ 10%",0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
4,evaluation_multilingual,OpenAI,OpenAI,German,Was ist die Mindestanforderung an das Kernkapital unter Basel III?,"Minimum CAR under Basel III is 9% in India (RBI requirement), higher than Basel III's 8% global minimum. Suspicious Activity      | SAR ($5,000+)                    | STR (no minimum)
Deposit Insurance        | $250,000 (FDIC)                  | ₹5 lakh (DICGC)
Capital Adequacy         | Basel III (8% minimum)            | Basel III (9% minimum)
KYC Framework            | FinCEN CDD Rule                  | RBI KYC Master Direction",0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
5,evaluation_multilingual,OpenAI,OpenAI,Portuguese,O que é KYC e quais são seus quatro componentes principais?,"=== SECTION 4: KYC (KNOW YOUR CUSTOMER) ===

KYC is a mandatory process for banks and financial institutions to verify customer identity and assess risk. KYC FOUR PILLARS
1.",0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
6,evaluation_multilingual,OpenAI,OpenAI,Italian,Che cos'è il rischio di credito e come viene misurato dalle banche?,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
7,evaluation_multilingual,OpenAI,OpenAI,Dutch,Wat is de minimale kapitaaltoereikendheidsratio onder Basel III?,"Minimum CAR under Basel III is 9% in India (RBI requirement), higher than Basel III's 8% global minimum. Suspicious Activity      | SAR ($5,000+)                    | STR (no minimum)
Deposit Insurance        | $250,000 (FDIC)                  | ₹5 lakh (DICGC)
Capital Adequacy         | Basel III (8% minimum)            | Basel III (9% minimum)
KYC Framework            | FinCEN CDD Rule                  | RBI KYC Master Direction",0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
8,evaluation_multilingual,OpenAI,OpenAI,Russian,Что такое подозрительная транзакция и когда банк обязан её сообщить?,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,1,banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
9,evaluation_multilingual,OpenAI,OpenAI,Chinese (Simplified),什么是了解您的客户（KYC）以及银行为什么需要执行它？,"=== SECTION 4: KYC (KNOW YOUR CUSTOMER) ===

KYC is a mandatory process for banks and financial institutions to verify customer identity and assess risk. KYC FOUR PILLARS
1.",0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
10,evaluation_multilingual,OpenAI,OpenAI,Chinese (Traditional),什麼是反洗錢，銀行有哪些主要義務？,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,1,banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
11,evaluation_multilingual,OpenAI,OpenAI,Japanese,マネーロンダリングの3つの段階とは何ですか？,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,1,banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
12,evaluation_multilingual,OpenAI,OpenAI,Korean,바젤 III에 따른 최소 자본 적정성 비율은 얼마입니까?,"Minimum CAR under Basel III is 9% in India (RBI requirement), higher than Basel III's 8% global minimum. Suspicious Activity      | SAR ($5,000+)                    | STR (no minimum)
Deposit Insurance        | $250,000 (FDIC)                  | ₹5 lakh (DICGC)
Capital Adequacy         | Basel III (8% minimum)            | Basel III (9% minimum)
KYC Framework            | FinCEN CDD Rule                  | RBI KYC Master Direction",0,2,banking_knowledge.txt | us_banking_knowledge.txt,High,yes,no,openai_api_key_missing
13,evaluation_multilingual,OpenAI,OpenAI,Arabic,ما هي متطلبات اعرف عميلك وما هي المستندات المطلوبة؟,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,1,banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
14,evaluation_multilingual,OpenAI,OpenAI,Hindi,मनी लॉन्ड्रिंग के तीन चरण क्या हैं और बैंक इसे कैसे रोकते हैं?,- Expected Loss (EL) = PD × LGD × EAD === SECTION 6: BANKING PRODUCTS & SERVICES ===,0,2,banking_knowledge.txt | us_banking_knowledge.txt,Moderate,yes,no,openai_api_key_missing
